id,host_id,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8213227,43298076,42,34,2019-05-01,0.73,4,101
8254405,26856159,42,161,2019-06-17,3.46,3,259
8381953,44171084,124,102,2019-06-15,2.66,1,247
8734174,19808319,117,125,2018-11-17,2.77,2,29
8754560,45913415,64,142,2019-07-06,3.12,2,210
8845289,46322064,290,58,2018-01-02,1.33,1,188
8957187,1317384,73,92,2019-06-12,2.08,2,177
8992894,46973966,899,52,2019-06-22,1.16,2,287
9133278,25459,41,124,2019-06-25,2.78,2,37
9170129,46973966,249,107,2019-06-23,2.4,2,249
9227929,2807798,201,162,2019-07-05,4.46,2,73
9289159,43963802,465,46,2019-06-29,1.22,2,325
9328578,43963802,230,52,2019-06-04,1.33,2,325
9576478,49572701,245,69,2019-06-11,1.61,1,226
9623722,518931,260,38,2019-07-02,0.94,1,296
9677744,50001302,77,63,2018-04-16,1.56,1,0
9786182,26627436,29,42,2018-08-19,1.0,1,16
9810271,50539477,48,100,2019-05-31,2.31,2,183
10039579,7727013,226,61,2019-06-22,2.57,2,276
10460113,16480700,87,80,2018-12-28,2.29,7,55
10943915,56710089,198,42,2019-06-03,1.07,1,267
11107261,57697937,57,90,2019-06-16,2.26,1,247
11372330,9777215,177,90,2019-06-22,2.59,3,175
11460993,60278793,169,96,2019-06-17,2.51,1,39
11667910,60500199,205,71,2019-06-03,1.76,1,331
11718547,18562674,81,102,2019-06-01,2.7,2,90
11940117,27488921,148,44,2019-06-23,1.12,1,280
12025076,64341665,68,49,2019-05-26,1.23,2,365
12054723,64561100,72,98,2019-06-20,2.5,1,204
12110663,64948443,82,106,2019-06-19,2.7,1,39
12563738,10312167,376,53,2019-03-03,1.4,2,310
12624890,657869,39,47,2019-06-09,1.22,2,131
12653674,68735532,136,30,2016-12-28,0.82,1,0
12664893,657869,73,69,2019-06-08,1.77,2,122
12736761,50601037,259,57,2019-06-10,1.51,1,175
12929852,58782992,450,56,2019-05-28,1.5,2,341
13361613,8961407,375,50,2019-05-27,1.5,3,351
13576581,78325795,129,160,2019-06-23,4.31,3,246
13671558,7127392,67,36,2018-08-09,0.98,1,0
13919213,82623035,155,138,2019-06-23,3.79,1,232
13957499,8253604,88,147,2019-07-07,4.24,2,165
14020396,77498973,122,41,2019-06-25,1.13,1,8
14371241,9209911,54,71,2019-07-01,2.01,1,15
14672524,91194780,56,79,2019-06-13,2.38,1,56
14933521,93020402,129,67,2019-07-01,1.96,1,0
15067291,45913415,64,97,2019-07-05,2.9,2,272
15858847,8715723,164,141,2019-06-10,4.74,5,209
15858922,8715723,164,143,2019-06-21,4.82,5,221
16009487,69613456,265,113,2019-06-23,3.55,1,297
16143844,35281088,44,45,2019-06-29,1.43,1,18
16172498,102383709,58,131,2019-06-26,4.17,2,115
16290974,67469354,66,78,2019-07-04,2.49,1,55
16349888,107055014,147,30,2019-06-17,1.18,1,28
16533105,64471880,87,269,2019-06-29,8.79,2,65
16557384,38853591,25,102,2019-06-18,3.33,1,99
16634459,109162710,141,41,2019-05-27,1.61,1,334
16739891,8715723,158,132,2019-06-14,4.37,5,238
16766700,18451417,39,75,2019-06-19,2.52,1,52
16883813,5302735,224,29,2019-06-09,0.99,2,0
17014809,8715723,118,95,2019-06-17,3.93,5,224
17137626,11167829,54,72,2019-06-30,2.54,3,63
17263550,3236595,58,68,2019-06-26,2.35,4,1
17618446,119779683,158,61,2018-08-03,2.21,1,62
18173198,274333,31,65,2019-06-03,2.44,3,89
18290561,9777215,177,71,2019-06-19,2.67,3,199
18411056,127567480,295,52,2019-07-07,5.05,1,256
18503701,128413939,78,88,2019-06-22,3.36,1,189
19180868,128744452,52,39,2019-06-22,1.65,1,242
19387402,78325795,179,143,2019-07-05,5.77,3,197
19404654,88861099,88,55,2019-06-23,2.24,1,208
19568889,137512725,77,36,2019-06-16,1.49,1,116
20228284,132342343,147,64,2019-06-20,2.85,1,72
20649144,139119594,77,92,2019-07-01,4.1,1,200
20724736,135904657,123,54,2018-12-27,2.44,2,0
20884271,68992648,53,47,2018-11-21,2.16,1,0
21392524,8715723,174,111,2019-06-13,5.37,5,244
21408195,145242566,25,61,2019-06-23,2.99,2,7
21436653,155400834,245,82,2019-06-30,4.44,1,135
21457703,6945444,173,62,2019-06-23,3.44,1,92
21633295,155403600,265,76,2019-06-28,4.07,1,147
21698446,32798079,98,94,2019-07-03,4.65,1,117
21709891,158054102,47,66,2019-07-06,3.28,3,49
21711690,158054102,47,68,2019-07-06,3.38,3,49
21853347,67069129,265,65,2019-07-02,3.34,2,257
22147426,161742462,249,40,2019-05-30,2.35,1,293
22370386,126735001,78,36,2019-06-24,1.94,1,0
22611934,74982218,32,45,2019-07-01,2.53,2,38
22686751,167208041,173,78,2019-07-06,4.43,1,0
23232087,127740507,47,83,2019-07-03,4.97,2,48
23369991,174180669,179,37,2019-07-07,2.32,1,333
23687344,27046912,81,41,2019-07-03,2.56,2,28
24370001,8961407,450,38,2019-07-01,3.21,3,302
24525290,185265758,247,82,2019-07-06,5.68,2,266
24693488,186620707,44,49,2019-06-23,3.38,2,5
24716751,186819005,57,39,2019-07-01,2.71,1,176
24725794,186905487,92,68,2019-06-23,4.76,1,32
25964053,97042500,109,35,2019-07-07,2.82,4,0
26084814,54970203,82,33,2019-06-16,2.75,1,2
26182774,7918430,112,31,2019-06-06,2.59,2,340
26333121,197334240,67,73,2019-06-30,5.82,2,193
26596388,199956234,139,58,2019-06-18,4.89,1,96
26995950,216227,62,68,2019-06-18,5.86,3,310
27428046,200834302,126,34,2019-07-02,3.12,1,90
27704612,1213248,159,31,2019-07-03,3.07,1,358
27832008,104607422,119,29,2019-06-30,3.02,1,103
28181405,11099966,57,57,2019-06-28,5.9,2,13
28611623,45835291,53,37,2019-06-19,3.88,6,299
29425269,207651513,97,47,2019-07-05,5.71,3,75
29449537,207651513,63,61,2019-07-01,7.5,3,31
29753750,223346842,92,44,2019-07-06,5.57,3,51
30066243,225942423,68,33,2019-07-01,4.25,1,19
30067603,45835291,47,31,2019-06-30,4.04,6,270
30071905,78325795,269,29,2019-07-03,3.88,3,1
31324327,234483148,77,31,2019-07-07,5.14,2,106
9518,31374,44,108,2019-06-15,1.11,3,311
245504,714200,71,229,2019-06-21,2.45,1,26
329385,312288,87,46,2019-05-25,0.62,2,310
1055029,5810195,42,46,2019-07-07,0.79,2,357
4573897,21935479,76,70,2019-06-08,1.37,1,352
5652542,29279330,122,34,2017-06-28,0.68,1,0
11319227,51025844,29,93,2019-06-15,2.28,3,90
11338529,59345189,43,55,2018-04-22,1.98,1,0
406926,2027134,269,81,2019-07-03,0.93,1,122
1717058,9053036,185,65,2019-06-07,1.04,1,106
3079567,740656,320,168,2019-06-30,2.7,1,269
3662827,8200795,191,51,2019-06-30,0.88,1,55
4932139,25404246,346,163,2018-11-21,2.96,1,0
5604005,3852579,400,101,2019-06-29,1.94,1,258
5806416,12484957,280,122,2019-06-24,2.35,1,113
6333994,4194894,295,94,2019-05-07,1.98,2,272
6689548,4271676,265,90,2019-06-22,1.95,3,11
9277608,42047615,650,130,2019-06-05,3.11,2,235
13589110,8336084,123,33,2019-06-15,0.9,1,1
13689663,8338942,124,168,2019-06-22,4.58,4,147
14159853,618586,67,86,2019-06-16,2.5,1,45
14254221,86786513,294,150,2019-06-29,4.19,1,105
16147164,620436,295,36,2019-06-27,1.4,1,16
18855694,764549,142,44,2019-06-12,1.82,1,246
19803515,139871943,81,59,2019-06-15,2.47,3,111
20517554,146472361,265,87,2019-06-23,3.79,1,118
20996830,144857346,111,51,2019-06-09,2.39,3,56
21501295,156214681,550,87,2019-06-23,4.22,1,295
23860219,152228055,2990,69,2019-06-29,4.36,1,237
28960088,218282660,399,29,2019-06-24,3.16,1,76
30716880,67552519,228,29,2019-07-01,4.42,2,78
" Apt""",LaTasha,3,2019-06-01,1.73,2.0,120,
"& SofaBed""",Sherry,4,2019-07-02,3.4,1.0,44,
"PRIVATE BEDROOM""",Taz,1,2019-07-04,6.42,6.0,280,
"Manhattan/East side""",Bozo,2,2019-06-16,2.81,1.0,78,
"15min to Times Square.""",James,4,2019-06-15,2.46,1.0,242,
"Full Amenities""",Deonisis,1,2019-07-05,6.03,1.0,67,
581542,2861854,92,55,2017-06-01,0.66,1,8
13914735,82562435,37,114,2019-06-04,3.18,2,305
18359426,82562435,48,62,2019-04-12,2.35,2,3
25137887,187383058,450,32,2019-07-07,2.35,2,315
151199,722320,129,414,2019-07-03,4.34,1,245
531091,1787284,109,304,2019-06-19,3.7,1,0
645693,3233986,61,107,2019-06-22,1.29,2,335
894093,4644172,47,71,2018-09-04,1.05,1,0
978615,5369117,81,183,2019-06-15,2.45,2,326
987329,5369117,78,70,2019-06-12,1.64,2,348
1016004,5577926,38,127,2019-06-23,1.67,4,55
1036498,3233986,46,70,2019-05-23,0.93,2,173
1763209,9268156,86,107,2018-11-01,1.58,1,0
3176874,16108973,119,217,2019-06-21,3.67,1,214
3369623,17000648,97,33,2016-01-02,0.65,1,0
4225569,21929547,96,196,2019-07-07,3.44,1,316
4566989,23673285,98,38,2019-06-02,0.67,1,306
4993422,25744379,72,36,2019-06-28,0.71,1,10
7774182,40895328,289,176,2019-06-30,4.07,2,309
Astoria,42488595,87,151,2019-06-17,3.32,1,210
8646618,10164435,77,254,2019-06-24,5.61,3,11
8953625,45416627,48,150,2019-06-23,3.39,9,323
12681868,68907781,58,67,2019-06-24,1.76,3,20
13063023,1924750,36,37,2019-06-24,1.03,2,228
13375898,75981937,48,47,2019-06-22,1.27,2,71
13675413,79579355,205,50,2019-07-03,1.41,1,324
14322869,2370635,122,128,2019-06-15,3.65,1,255
17097898,51459559,47,39,2019-05-10,1.5,2,292
17817203,121802962,53,47,2019-06-23,1.76,1,5
21540496,156587568,123,56,2019-06-14,2.73,1,126
21677335,28290772,43,42,2019-06-14,2.09,2,340
22173762,123136283,280,69,2019-06-27,3.68,1,307
23966710,169166409,38,40,2019-06-29,2.61,2,48
24066280,100128949,42,54,2019-04-20,3.48,4,66
24348078,176427055,74,102,2019-07-07,6.77,1,348
25310242,28638583,156,70,2019-07-02,5.16,1,67
26600090,158922261,51,34,2019-06-27,2.97,3,167
28053065,211682646,58,41,2019-07-01,3.97,1,156
28438751,10164435,44,49,2019-05-01,5.38,3,52
29853088,137194766,98,32,2019-06-21,4.02,2,131
30476876,227647873,109,50,2019-07-01,6.88,3,0
30713613,227647873,179,29,2019-07-07,5.15,3,116
765563,4036685,299,67,2019-06-20,0.95,2,322
7331070,22373907,290,74,2019-06-09,1.59,1,338
18535402,21250331,38,86,2019-06-20,4.19,3,346
21794,83257,98,30,2019-05-01,0.27,2,364
51572,237329,123,375,2019-06-18,3.52,1,328
61224,291112,500,35,2017-07-27,0.34,1,348
62903,306605,205,62,2019-06-21,0.7,2,76
118430,585458,290,35,2019-01-03,0.36,1,20
245607,825022,226,34,2019-07-01,0.39,1,302
285492,1486034,385,63,2018-08-03,0.71,1,364
351859,417652,265,75,2019-07-01,0.86,1,324
823520,4323625,179,251,2019-07-03,3.15,1,157
841211,3665164,999,30,2016-10-12,0.4,1,365
1040156,3740730,499,127,2019-06-14,1.68,2,303
1089240,5971251,176,123,2019-06-23,1.63,1,268
1264695,2737373,595,106,2019-06-18,1.51,1,247
1292428,4393626,119,106,2019-06-17,1.47,2,23
1336230,7245581,93,34,2019-05-16,0.47,19,316
1478946,7245581,98,38,2019-05-15,0.54,19,290
1479283,7245581,96,45,2019-03-15,0.63,19,210
1704798,8998805,76,164,2019-06-24,2.34,1,27
1746726,4051126,555,111,2019-07-03,1.63,1,191
1892319,3416555,84,143,2019-05-04,2.13,1,311
2223082,1446751,285,47,2019-07-01,0.74,1,194
2255549,735701,221,252,2019-07-06,4.91,1,256
2422991,12384418,159,43,2019-06-23,1.1,1,25
2493039,598167,119,32,2017-10-30,1.09,1,0
2791446,7069480,218,53,2019-07-01,0.9,1,304
2969919,15153596,235,34,2019-07-01,0.68,1,135
3581153,18038832,230,29,2019-05-26,0.49,1,0
4220151,21903562,159,202,2019-06-19,3.53,1,234
4227499,2811458,395,73,2018-01-03,1.27,1,2
4467771,23178728,345,95,2019-06-29,1.7,1,13
4720719,19924780,1000,95,2018-12-30,1.7,1,353
5621141,23747060,230,41,2019-06-30,0.8,1,236
7225366,9288577,450,206,2019-07-03,4.24,1,1
7480520,15887987,215,94,2019-05-25,2.02,1,8
7601870,35102629,215,75,2019-05-26,1.61,1,331
7603389,39875363,118,259,2019-07-01,5.44,1,47
7657879,1163318,270,195,2019-03-17,4.26,1,270
7774373,40895919,245,115,2019-07-02,2.43,1,125
8698671,45667135,112,31,2016-06-18,0.68,1,0
9559335,49494701,299,176,2019-06-22,4.02,1,297
9611586,8797100,235,107,2019-06-23,2.98,1,27
9804368,48705835,365,100,2019-06-19,2.37,1,257
10036313,35890377,425,59,2019-06-27,1.38,1,39
10100121,51830532,239,55,2019-07-02,1.29,1,161
10314411,4393578,1731,84,2019-03-31,2.8,2,97
10903055,28378670,119,134,2019-06-30,3.42,1,66
11675256,34564001,290,62,2019-03-06,1.53,1,19
12106348,64916208,206,55,2019-01-01,1.41,1,0
12167152,51434373,179,69,2019-06-19,1.8,1,104
12560942,47577639,185,49,2019-06-26,1.31,2,279
12873159,70409953,480,106,2019-06-29,2.99,1,263
13058232,72313021,295,50,2019-07-07,1.33,1,77
13406622,1501090,450,139,2019-06-20,3.73,1,221
13639075,79114007,325,47,2019-06-30,1.3,1,0
13723345,2305978,185,147,2019-06-20,4.07,2,114
14120431,11476179,155,29,2018-11-25,0.83,1,8
14429513,69021484,139,120,2019-07-02,3.91,1,52
14472385,16756301,249,70,2019-07-02,2.03,1,266
14843553,493093,215,88,2019-07-01,2.59,1,200
15068067,9035097,750,42,2019-01-04,1.24,1,281
15625556,100721907,78,87,2019-06-23,2.68,1,44
15769652,101976032,499,69,2019-06-18,2.13,1,280
16107664,40744019,181,158,2019-06-23,5.08,1,173
16190902,32084117,330,124,2019-05-27,3.94,1,317
16543032,60105727,196,90,2019-06-29,3.09,2,186
16677170,59163247,233,92,2019-06-27,3.08,1,219
17108224,49701132,600,86,2019-06-07,3.04,1,261
17152737,12578148,545,42,2019-06-26,1.57,1,322
17174519,10590692,650,35,2019-07-03,1.61,2,179
17344027,42024722,103,77,2019-07-07,2.73,2,79
17367004,572879,289,128,2019-06-17,4.52,1,252
17368006,117365574,82,147,2019-06-23,5.08,5,292
17879131,122419373,429,119,2019-06-17,4.33,1,288
17981447,95286194,57,53,2019-06-23,1.92,1,33
19182044,84126420,399,44,2019-07-05,2.4,1,112
19982386,19413375,500,40,2019-06-19,1.7,1,276
20499692,146348944,245,48,2019-06-18,2.22,1,46
21054217,151671343,790,42,2019-07-01,1.99,1,36
21413839,117365574,82,97,2019-06-16,4.69,5,309
22079387,148107543,299,30,2019-05-25,1.57,1,274
22144662,73358102,109,76,2019-06-14,3.95,1,4
22312190,52602009,84,119,2019-06-19,6.44,1,20
22715506,5601966,375,35,2019-04-26,2.19,1,79
23131463,15901859,127,30,2019-06-24,2.0,1,32
23548260,52751563,96,32,2019-06-02,2.03,1,2
23632578,3717633,185,32,2019-06-23,2.02,1,47
25190757,30242632,600,44,2019-06-23,3.37,1,134
25340844,9523229,68,33,2019-06-16,2.56,1,0
25840272,119958898,299,76,2019-07-04,5.82,1,91
28104895,51289216,167,60,2019-06-30,5.75,1,164
28840175,217111553,288,44,2019-07-06,4.78,1,48
28938631,211391055,299,35,2019-06-16,3.75,1,277
29163083,217792112,320,40,2019-06-16,4.53,1,95
2611458,13373889,129,40,2018-10-14,0.85,2,86
16082711,104812805,34,51,2018-10-27,1.69,8,316
16097690,104927746,32,30,2019-06-22,1.2,7,342
19930835,137999892,33,29,2019-06-09,1.3,7,356
20542510,104927746,32,45,2019-04-21,2.09,7,333
16337106,105394139,58,84,2019-06-23,2.74,4,75
23307503,165607672,73,31,2019-06-18,1.83,2,39
29966943,225309985,98,30,2019-05-24,4.46,1,327
282863,322934,91,69,2019-06-21,0.76,1,265
434792,2117078,138,106,2019-06-07,1.22,1,189
493611,1407251,385,66,2019-05-19,0.76,2,363
610596,2992042,198,103,2019-06-08,1.62,1,299
669633,2400932,109,114,2019-06-10,1.38,2,110
852632,4451246,44,155,2019-07-01,2.11,1,325
949713,1295416,400,30,2019-06-01,0.39,1,67
2088725,10661536,124,52,2019-06-30,0.8,1,147
3225975,16329859,400,34,2018-12-30,0.56,1,1
4891441,3417940,262,166,2017-09-29,3.06,1,0
5318322,8354345,495,95,2019-06-17,1.94,1,285
6373582,33213436,129,116,2019-06-24,2.38,8,236
6796530,35574300,98,238,2019-07-01,4.85,1,236
8033609,33213436,119,171,2019-06-19,3.82,8,236
9578325,1407251,129,120,2019-06-22,2.73,2,275
12243947,63289810,295,70,2019-06-10,1.8,1,292
13730495,37310365,185,93,2019-06-23,2.58,1,77
14625676,1239272,299,35,2019-06-09,1.02,1,261
15268654,67213712,400,118,2019-06-06,3.53,1,265
15517104,1486872,147,85,2019-02-24,2.58,2,0
16227719,33213436,169,34,2018-10-29,1.09,8,364
17214699,114621718,146,106,2019-06-29,3.78,2,341
18385188,127341412,173,100,2019-07-07,3.88,1,18
21824124,159091490,139,82,2019-07-07,4.16,17,355
21933969,159091490,129,32,2019-07-07,1.62,17,363
21966351,159091490,139,38,2019-07-07,2.85,17,337
21966592,159091490,139,46,2019-07-06,2.36,17,342
26741585,62587696,52,53,2019-07-03,5.26,2,13
467634,2321321,39,454,2019-06-18,5.27,1,353
676295,27848,58,56,2019-07-01,0.67,2,365
2508374,8552126,63,146,2019-06-20,2.28,2,23
6908837,36205028,53,189,2019-06-21,3.9,2,348
7787983,36205028,52,179,2019-06-24,3.79,2,350
9145202,47621202,47,629,2019-07-05,14.58,2,333
9563873,49514708,37,42,2019-07-07,0.98,1,228
10073940,51688993,179,103,2019-07-02,2.67,2,324
10101135,47621202,47,576,2019-06-27,13.4,2,173
13550120,51688993,174,67,2019-06-23,1.81,2,340
13752439,71564201,61,58,2017-04-29,1.77,1,0
14777684,72838963,66,94,2019-07-04,2.71,2,180
16814205,111841534,53,392,2019-07-06,13.15,1,71
16983203,113682832,47,29,2019-05-20,1.02,2,126
17073983,114541713,127,52,2019-06-15,1.99,1,44
18490141,97001292,10,43,2019-06-12,1.68,1,252
19297819,132341923,57,120,2019-07-03,5.37,2,56
21366188,154705359,96,259,2019-07-07,12.99,1,307
21385915,154128335,48,49,2019-05-16,2.4,4,255
21619569,157275347,128,141,2019-06-30,7.24,1,164
22363371,132341923,57,91,2019-07-05,5.04,2,57
25914288,37939474,37,34,2019-06-24,2.63,1,331
27681714,208946050,54,45,2019-06-21,4.18,1,12
28187614,212899703,83,29,2019-06-23,2.82,3,48
29489893,222098649,20,111,2019-07-07,13.11,1,41
30048506,44682387,155,59,2019-06-26,7.6,2,287
31249784,232251881,67,95,2019-07-05,15.32,8,145
31267560,232251881,39,56,2019-07-05,9.13,8,34
31336245,232251881,39,65,2019-07-07,10.6,8,320
32038185,240203470,25,44,2019-06-30,9.23,1,41
1586454,8452695,48,33,2019-04-21,0.46,2,297
7246903,26411218,96,139,2019-06-30,3.14,2,21
12972292,68139551,58,60,2019-05-06,1.57,3,346
12972783,68139551,58,37,2019-06-02,0.97,3,364
14316033,54438083,144,113,2019-06-11,3.18,3,293
14398950,9667684,77,93,2019-06-21,2.69,1,198
16055506,104558512,86,78,2019-06-29,2.55,1,149
16664045,54438083,184,51,2019-06-22,1.72,3,300
21834484,59749036,245,93,2019-06-18,4.79,1,201
28483571,178011115,166,31,2019-06-09,3.52,1,280
110739,568568,169,54,2019-07-03,0.57,1,98
424767,2103888,325,197,2019-06-20,2.25,1,207
1357021,1411399,219,78,2019-06-22,1.1,5,301
1803165,9453400,799,40,2018-09-01,0.58,1,365
1844088,1512462,215,130,2019-05-31,1.92,2,270
1897001,9854533,399,33,2018-03-31,0.49,1,36
2043060,1499286,395,37,2019-06-09,0.55,2,350
2145620,10949644,97,177,2019-06-28,2.69,1,58
2514689,12872352,399,87,2017-12-18,1.37,3,267
2763206,14133008,78,43,2019-04-29,0.74,1,49
5240711,27121854,289,169,2019-01-02,3.23,1,3
5478741,28411613,524,57,2019-06-09,1.14,1,115
5627944,29167335,182,56,2019-06-14,1.08,2,148
6226327,29167335,182,51,2019-05-31,1.03,2,317
8736973,45837872,148,30,2019-07-04,0.84,1,16
11060328,12872352,550,57,2019-05-06,1.44,3,267
11640318,1709718,285,32,2019-01-02,1.39,2,365
12093494,62031986,333,246,2019-06-21,6.38,1,323
